Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,GLON,GLAT,Gmag,BP-RP,e_Gmag,e_BP-RP,probs
5290634624678682624,118.63239351400952,-61.42646986204523,2.3633942968545245,0.061366633,-4.101649339449617,0.06996903,10.775184398227657,0.06975617,,,274.23652407718754,-16.543258196881364,17.22032003891956,2.340258941145809,0.002912457834847296,0.014005900613505401,1.0
5290724505456170368,119.25393586843876,-60.74221146186149,2.3818957920820387,0.08864747,-5.025212591547079,0.12607518,11.245055275244567,0.095608205,,,273.74390067158134,-15.964594771734795,17.82455117483472,2.4278824381523947,0.0029693619072970363,0.045646239033703906,1.0
5290745258735333120,120.10846813664412,-61.09400791393314,2.340243415480175,0.07967451,-4.736611594541557,0.0968069,10.71526428770115,0.09230589,,,274.2683132203358,-15.760124561154992,17.743716853195814,2.5653857432998173,0.003069055853356097,0.026445223382456185,1.0
5290745086936635392,120.16115110462007,-61.10671419959073,2.536846680887144,0.085053176,-4.516069435219427,0.09578134,11.481952062268872,0.09116604,,,274.2923874149044,-15.743606991768589,17.72601878057128,2.5533677904620653,0.0029928720497551437,0.02551139266870609,1.0
5290744983857413376,120.1197976037508,-61.129119084644685,2.485160809851612,0.034089822,-4.555069297263395,0.04354808,11.961763053094137,0.049287576,,,274.3032019030447,-15.771760419275452,16.204237163629514,1.9149507749220707,0.002996327163430934,0.008410782623297754,1.0
5290724647192847616,119.3783041258154,-60.7890327320148,2.369785677376034,0.04250536,-4.762213801675894,0.06078324,11.482922725298256,0.045243155,,,273.8162132186107,-15.932234433104997,16.579879088950502,2.154998881895203,0.0029586590255042365,0.011021575386157589,1.0
5290744193586532480,119.1606360048202,-60.47916963671202,2.3773977071516423,0.11326192,-4.718156567853189,0.15184176,11.13281046440878,0.14713116,,,273.47908746133,-15.884343156873635,18.463421098959966,2.7759284496742787,0.003192167380328904,0.05075074306578748,1.0
5290635414952667392,118.67200577687552,-61.36356357985682,2.416915740809145,0.019219294,-4.583810889338228,0.023882985,10.953204452827636,0.021760022,24.29336,3.785179,274.1868044209736,-16.498039585203074,13.945806862720927,1.2193563013116187,0.002795468079888849,0.0052489291579014,1.0
5290741998862355968,118.97995121414488,-60.57250532965567,2.526088728639443,0.15702556,-4.325372799025,0.20484832,11.583875325230386,0.19309773,,,273.5229898083009,-16.00613492307766,18.793491575000495,2.9509346779967984,0.003317836605347541,0.08941789535669145,1.0
5290638541688786688,118.87025946381488,-61.226303451884775,2.5324371180892298,0.07424839,-4.047319525941707,0.107923955,11.217061145353457,0.09728254,,,274.10393199046325,-16.351108796605402,17.688322174409294,2.506407938811371,0.002910751921541601,0.031428004023535815,1.0
5294103991880618240,118.00422156427132,-59.187313446722406,2.3623277683463515,0.0099015115,-3.962428305240087,0.014177848,10.93096487538513,0.011539486,23.139473,2.6479063,272.008427970871,-15.81411408472638,13.237833263129705,0.9944544990424014,0.0028508618730279703,0.005658206443662818,1.0
5290638713487476352,118.81830337245066,-61.22692295643077,2.36816030183624,0.044414025,-4.485539503674742,0.0658691,11.159903354934247,0.058550898,,,274.0927097379263,-16.373689406850605,16.618400761104667,2.0685223000418027,0.002848629810919038,0.009873058753928595,1.0
5290740452672243584,119.0065878805799,-60.64775793776315,2.3983777235579407,0.01632144,-5.386843151853141,0.023711659,10.51364041583463,0.020327803,21.979963,8.817225,273.5988432525496,-16.028898145045297,14.702696376327292,1.3378309967060122,0.003135570469171674,0.008138297706834696,1.0
5290740452672243456,119.00758176518498,-60.648485760879,2.4374901376692333,0.036278274,-4.592157517995401,0.056266345,11.124661239088326,0.04523973,,,273.59974845984965,-16.02879745486896,16.296678743240626,2.2368915922480923,0.0028580546730850955,0.012695368139158772,1.0
5290641943304655744,119.4891767172376,-61.38364925759031,2.43904374442052,0.011693222,-5.043561274166969,0.015410498,11.699163453781292,0.014867663,23.791695,3.5841746,274.39107582048683,-16.15855782490849,13.837310341745154,1.1211267282859296,0.0028768101155179308,0.00597580618094036,1.0
5290740040355375360,118.98944675221288,-60.69544517278741,2.374547904686185,0.07325968,-4.106839478888313,0.10978379,10.758833042040418,0.09256397,,,273.6389923594011,-16.058151062614126,17.486287637072095,2.4612554665959117,0.002977864660232282,0.02155990109698687,1.0
5288238067285423744,117.86896244089225,-63.01043126874836,2.535554085203962,0.035017624,-4.067589235678341,0.04469795,12.449674248349783,0.044965047,,,275.559525439892,-17.56094969089576,16.116414356883066,1.9020257184234062,0.002804551359111918,0.010110211627572287,1.0
5290740040355374848,118.98203321857164,-60.69430394124549,2.4190883223373643,0.061664842,-5.17986974660559,0.091731235,10.196758020984095,0.07625142,22.126307,1.361202,273.6362117926293,-16.060858367404162,12.7133560380315,0.9059010422127489,0.0028065806260067694,0.0049927361546168135,1.0
5290642046382523008,119.57602270273628,-61.35245814129144,2.4979537044463065,0.03924419,-4.831383185466471,0.04967303,11.754196577100762,0.04588694,,,274.38221904621923,-16.1072518298116,16.63182187520234,2.0751405447899174,0.0030150184987949857,0.011067090000866031,1.0
5290739937276199168,119.30062901716065,-60.552446167767954,2.29575539511836,0.013994822,-4.832481993757617,0.017266912,10.74657820803508,0.016864693,55.01153,8.183587,273.5796913859677,-15.856907635157654,14.340437863456998,1.207856077896496,0.002882412791259532,0.006035587917441756,1.0
